Area,Housing units 2011,Housing units 2021,Population-Total 2011,Population-Total 2021
Total,433212,492555,840407,923272
Lefkosia District,144556,163239,326980,350824
Lefkosia Municipality,28298,30145,55014,56848
Agios Dometios Municipality,5825,6530,12456,12904
Egkomi Municipality,8182,9542,18010,20502
Strovolos Municipality,29763,32585,67904,71123
Aglantzia Municipality,10566,11819,20783,21543
Lakatameia Municipality,13975,16389,38345,43276
Synoikismos Anthoupolis,918,879,1756,1693
Latsia Municipality,6828,7648,16774,18579
Geri Municipality,3052,3644,8235,9651
Sia,300,318,754,840
Mathiatis,215,290,646,670
Alampra,536,591,1585,1655
Agia Varvara Lefkosias,788,1135,2204,2866
Kotsiatis,75,78,160,171
Nisou,763,798,2179,2132
Pera Chorio,952,1130,2637,3002
Dali Municipality,3632,4391,10466,12350
Lympia,970,1118,2694,2911
Lythrodontas,1180,1384,3043,3124
Louroukina,5,0,11,0
Potamia,192,213,505,582
Agios Sozomenos,9,2,11,5
Kampi,63,75,97,80
Farmakas,217,219,480,442
Apliki,57,51,87,65
Lazanias,49,54,39,46
Gourri,144,145,196,197
Fikardou,38,46,15,25
Agios Epifanios Oreinis,229,244,412,449
Kalo Chorio Oreinis,287,319,734,747
Malounta,153,186,490,510
Klirou,746,789,1847,1895
Arediou,409,463,1225,1272
Agios Ioannis Malountas,169,215,472,473
Agrokipia,224,233,509,529
Mitsero,328,383,860,789
Kapedes,250,270,572,566
Kataliontas,18,19,24,17
Analiontas,204,229,443,551
Kampia,212,232,475,539
Margi,58,80,146,163
Tseri Municipality,2386,3124,7035,8304
Politiko,149,158,419,420
Pera,546,603,1372,1421
Episkopeio,181,212,524,559
Psimolofou,575,726,1626,1914
Ergates,591,674,1792,1951
Anageia,510,538,1514,1553
Pano Deftera,934,1059,2789,3007
Kato Deftera,707,778,2054,2132
Agioi Trimithias,536,772,1529,2036
Palaiometocho,1409,1709,4145,4445
Deneia,116,173,373,513
Kokkinotrimithia,1436,1828,4077,4817
Mammari,543,692,1592,1907
Palaichori Morfou,358,483,686,708
Askas,128,170,170,90
Alona,161,333,67,39
Fterikoudi,113,159,90,67
Polystypos,166,233,128,133
Lagoudera,119,152,84,60
Saranti,70,83,44,22
Livadia Lefkosias,52,65,18,3
Alithinou,26,48,9,6
Platanistasa,170,272,117,70
Palaichori Oreinis,271,466,333,419
Xyliatos,81,111,138,118
Agios Georgios Kafkallou,103,141,26,29
Nikitari,187,232,447,439
Vyzakia,160,223,347,338
Agia Marina Xyliatou,256,297,568,490
Agioi Iliofotoi,28,70,60,111
Kato Moni,144,167,339,293
Orounta,279,306,604,505
Pano Koutrafas,1,7,4,19
Kato Koutrafas,12,57,17,64
Potami,222,252,558,559
Pano Zodeia,16,0,15,0
Akaki,1052,1096,3003,3109
Peristerona Lefkosias,844,905,2226,2245
Astromeritis,898,970,2307,2193
Meniko,381,408,1023,1037
Spilia,225,360,123,107
Agia Eirini Lefkosias,40,56,27,30
Kannavia,95,110,129,132
Kakopetria,1011,1010,1274,1255
Agios Theodoros Soleas,79,93,49,58
Galata,477,596,581,571
Sinaoros,131,141,228,232
Kaliana,157,198,200,176
Temvria,320,350,498,476
Korakou,264,270,521,494
Evrychou,482,521,827,859
Flasou,174,205,240,227
Agios Epifanios Soleas,5,3,0,0
Linou,126,154,161,152
Katydata,125,112,114,100
Skouriotissa (Foukasa),7,10,11,9
Pedoulas,404,692,132,138
Mylikouri,146,157,17,11
Moutoullas,347,297,174,126
Oikos,148,165,158,139
Kalopanagiotis,401,399,263,201
Gerakies,209,227,75,50
Tsakistra,87,88,79,80
Kampos,287,320,271,171
Pano Pyrgos,25,26,22,18
Kato Pyrgos,643,686,1036,919
Pigenia,125,152,107,80
Pachyammos,124,132,70,59
Agios Theodoros Tillirias,29,0,0,0
Mansoura,12,15,9,7
Mosfili,55,61,20,20
Ammochostos District,34150,40280,46629,54282
Agia Napa Municipality,3251,5103,3212,4717
Paralimni Municipality,18048,20450,14963,19035
Deryneia Municipality,2768,3115,5844,6229
Sotira Ammochostou Municipality,2968,3366,5474,5905
Liopetri,2066,2150,4591,4908
Frenaros,1784,2260,4298,4515
Avgorou,1712,2171,4604,4921
Achna,858,849,2087,2182
Acheritou,695,816,1556,1870
Larnaka District,73676,82233,143192,155753
Larnaka Municipality,26619,29545,51468,52038
Aradippou Municipality,6588,7879,19228,22934
Livadia Larnakas Municipality,3286,3977,7206,8581
Dromolaxia-Meneou Municipality,2857,3161,6689,6866
Kellia,136,145,387,397
Troulloi,373,409,1175,1181
Voroklini (Oroklini),5319,5560,6134,7575
Avdellero,59,78,218,265
Pyla,2852,3380,2771,3869
Xylotymvou,1375,1401,3655,3783
Ormideia,1722,1727,4189,4213
Xylofagou,2722,2920,6231,6623
